#,Author Name,Number of Subjects,Number of Cases,Sub-group,Measurement,Median Age,Mean Age,Age,DOI,Sex (% Male),Specific Type of Test,Date of First Publication,Country,Sex
93,Dawson & Rabold et al.,42,24,Subjective,Taste Only,NA,37.4,37.4,10.1093/cid/ciaa799,0.3478,Self Reported,2020-06-21T00:00:00Z,United States,34.78
98,Noh et al.,199,45,Subjective,Taste Only,NA,38,38,10.1016/j.jinf.2020.05.035,0.347,Self Reported,2020-05-21T00:00:00Z,Korea,34.699999999999996
100,Tudrej et al.,198,92,Subjective,Taste Only,45,NA,45,10.1007/s11606-020-05933-9,0.35,Self Reported Questionnaire,2020-06-09T00:00:00Z,France,35
105,Sayin et al.,64,16,Subjective,Taste Only,39,38.65,39,10.1177/0194599820931820,0.375,Online Questionnaire (AAO-HNS),2020-06-09T00:00:00Z,Turkey,37.5
108,Dell'era et al.,355,235,Subjective,Taste Only,50,NA,50,10.1002/hed.26288,0.54,"Self report questionnaire in person, or telephone",2020-06-11T00:00:00Z,Italy,54
112,Baidsee & Biadsee et al.,128,67,Subjective,Taste Only,NA,36.25,36.25,10.1177/0194599820934380,0.4143,Self Reported Questionniare,2020-06-16T00:00:00Z,Israel,41.43
113,Qiu & Cui et al.,394,100,Subjective,Taste Only; Taste and Smell,39,NA,39,10.1177/0194599820934376,0.57,"Retrospective chart review, questionnaires (VAS and QOD)",2020-06-16T00:00:00Z,"China, France, Germany",56.99999999999999
115,Izquierdo-Dominguez & Rojas-Lechuga et al.,846,442,Subjective,Taste Only,NA,56.8,56.8,10.18176/jiaci.0595,0.527,Self Report Questionnaire (VAS for sinonasal symptoms),2020-06-17T00:00:00Z,Spain,52.7
117,Weng et al.,105,66,Subjective,Smell OR Taste,38,NA,38,10.1002/jmv.26196,0.267,"Retrospective, Self Report",2020-06-19T00:00:00Z,United States,26.700000000000003
119,Lombardi et al.,139,20,Subjective,Smell AND Taste,NA,44.5,44.5,10.1016/j.cmi.2020.06.013,0.358,Self-Report,2020-06-20T00:00:00Z,Italy,35.8
120,Freni et al.,50,35,Subjective,Taste Only,NA,37.7,37.7,10.1016/j.amjoto.2020.102612,0.6,Self-Report validated questionnaire of Olfactory Disorders-Negative Statements (sQOD-NS),2020-06-18T00:00:00Z,Italy,60
123,Altin et al.,81,22,Objective,Taste Only,NA,54.16,54.16,10.1007/s00405-020-06155-9,0.506,Solution based test,2020-06-23T00:00:00Z,Turkey,50.6
124,Schmithausen & Döhla et al.,41,28,Subjective,Smell AND/OR Taste,40,NA,40,10.20411/pai.v5i1.374,0.49,Self-Report,2020-05-16T00:00:00Z,Germany,49
125,Durrani et al.,30,4,Subjective,Smell AND Taste,NA,44,44,10.12669/pjms.36.COVID19-S4.2778,0.8,Self-Report,2020-05-18T00:00:00Z,Pakistan,80
127,Mercante et al.,204,113,Subjective,Taste Only,NA,52.6,52.6,10.1001/jamaoto.2020.1155,0.539,Self Report Telephone SNOT 22 survey,2020-06-18T00:00:00Z,Italy,53.900000000000006
128,Lan et al.,83,13,Subjective,Smell AND/OR Taste,NA,43.9,43.9,10.1371/journal.pone.0235460,0.277,Self-Report,2020-06-26T00:00:00Z,United States,27.700000000000003
130,Hintschich et al.,41,8,Objective,Taste Only,37,NA,37,10.1111/alr.22655,0.32,Taste Strips,2020-04-12T00:00:00Z,Germany,32
132,Vacchiano et al.,108,66,Subjective,Taste Only,59,NA,59,10.1007/s10072-020-04525-z,0.57,Telephonic questionnaire,2020-07-02T00:00:00Z,Italy,56.99999999999999
133,Petrocelli et al.,300,184,Objective,Taste Only,NA,43.6,43.6,10.1017/S0022215120001358,0.25,Four solution test,2020-07-28T00:00:00Z,Italy,25
134,Lechien & Chiesa-Estomba et al. 3,2013,1136,Subjective,Taste Only,39.5,NA,39.5,10.7326/M20-2428,0.34,NHANES Self-report,2020-05-26T00:00:00Z,Europe,34
135,Sakalli et al.,172,81,Subjective,Taste Only,NA,37.8,37.8,10.1016/j.amjoto.2020.102622,0.488,Self Report telephone/ in person,2020-06-23T00:00:00Z,Turkey,48.8
136,Boscolo‑Rizzo et al. 2,187,124,Subjective,Smell OR Taste,56,NA,56,10.1001/jamaoto.2020.1379,0.449,Self-Report ARTIQ and SNOT-22 Survey,2020-07-02T00:00:00Z,Italy,44.9
138,Adorni et al.,856,507,Subjective,Smell AND/OR Taste,NA,47.4,47.4,10.2196/21866,0.401,Anonymous online survey,2020-09-18T00:00:00Z,Italy,40.1
142,Somekh et al.,73,37,Subjective,Smell AND/OR Taste,NA,NA,NA,10.1097/INF.0000000000002817,NA,Self Report,2020-07-10T00:00:00Z,Israel,NA
150,Güner et al.,222,17,Subjective,Taste Only,NA,50.6,50.6,10.3906/sag-2006-164,0.595,Self Report,2020-07-19T00:00:00Z,Turkey,59.5
151,Martin-Sanz et al.,215,114,Subjective,Taste Only,NA,42.9,42.9,10.1002/lary.28999,0.192,Self report,2020-07-20T00:00:00Z,Spain,19.2
152,Boscolo-Rizzo et al. 2,183,110,Subjective,Smell OR Taste,NA,NA,NA,10.4193/Rhin20.263,NA,Self Report SNOT-22,2020-10-01T00:00:00Z,Italy,NA
155,Villarreal et al.,230,161,Subjective,Taste Only,43,NA,43,10.1007/s00405-020-06237-8,0.1478,Self Report,2020-07-28T00:00:00Z,Spain,14.78
156,Nakagawara et al.,57,10,Subjective,Smell AND/OR Taste,NA,35.4,35.4,10.1016/j.ijid.2020.07.034,0.439,Self Report,2020-07-26T00:00:00Z,Japan,43.9
157,Wagner & Shweta et al.,2317,145,Subjective,Smell OR Taste,NA,41.9,41.9,10.7554/eLife.58227,0.51,EHR self report,2020-07-07T00:00:00Z,United States,51
158,Fontanet et al.,59,52,Subjective,Taste Only,NA,37,37,10.1101/2020.04.18.20071134,0.219,Self Report,2020-04-24T00:00:00Z,France,21.9
159,Kempker et al.,51,27,Subjective,Taste Only,NA,NA,NA,10.1093/cid/ciaa877,0.19,Self Reprt,2020-06-28T00:00:00Z,United States,19
161,Chen et al.,101,60,Subjective,Taste Only,NA,48.32,48.32,10.1053/j.gastro.2020.05.036,0.41,Self Report Telephone,2020-05-15T00:00:00Z,United States,41
162,Gorzkowski et al.,229,124,Subjective,Taste Only,NA,38.5,38.5,10.1002/lary.28957,0.3643,Self Report,2020-07-02T00:00:00Z,France,36.43
165,Morshed et al.,103,36,Subjective,Smell OR Taste,37,NA,37,10.1101/2020.07.30.20165100,0.718,Self Report,2020-08-02T00:00:00Z,Bangladesh,71.8
169,Iversen et al.,1163,377,Subjective,Smell OR Taste,NA,44.4,44.4,10.1016/S1473-3099(20)30589-2,0.211,Retrospective Symptom Self Report,2020-08-03T00:00:00Z,Denmark,21.099999999999998
170,Cocco et al.,105,78,Subjective,Smell OR Taste,NA,56.2,56.2,10.1007/s00415-020-10135-8,0.6,Self Report Questionaire,2020-08-07T00:00:00Z,Italy,60
171,Vaira et al. 4,106,76,Objective,Taste Only,NA,49.6,49.6,10.1186/s40463-020-00449-y,0.5,Four solution test,2020-08-06T00:00:00Z,Italy,50
172,Klopfenstein et al. 2,70,34,Subjective,Taste Only,NA,57,57,10.1186/s40463-020-00449-y,0.41,Self Report,2020-08-06T00:00:00Z,France,41
173,Vaira et al. 5,138,92,Objective,Taste Only,NA,51.2,51.2,10.1017/S0022215120001826,0.493,Four solution test,2020-08-12T00:00:00Z,Italy,49.3
175,Cho et al.,83,36,Subjective,Taste Only,NA,36.4,36.4,10.1002/lary.29056,0.5783,Self Report,2020-08-13T00:00:00Z,China,57.830000000000005
176,Salepci et al.,223,77,Subjective,Taste Only,51,NA,51,10.1007/s00405-020-06284-1,0.507,Self Report,2020-08-13T00:00:00Z,Turkey,50.7
177,Mohamud et al.,60,17,Subjective,Taste Only,NA,45.7,45.7,10.2147/IDR.S263632,0.7,EHR,2020-07-29T00:00:00Z,Somalia,70
178,Kronborg et al.,37,3,Subjective,Taste Only,NA,NA,NA,PMID: 32800070,0.5272,EMR,2020-07-08T00:00:00Z,Netherlands,52.72
180,Merkely et al.,70,12,Subjective,Smell OR Taste,NA,48.7,48.7,10.1007/s11357-020-00226-9,0.464,Self Report,2020-07-17T00:00:00Z,Hungary,46.400000000000006
181,Jalessi et al.,92,15,Subjective,Taste Only,NA,53.94,53.94,10.1007/s10072-020-04590-4,0.674,Self Report,2020-07-12T00:00:00Z,Iran,67.4
183,Utku et al.,143,51,Subjective,Taste Only,NA,57.8,57.8,10.1177/0036933020949253,0.5522,Self Report,2020-08-17T00:00:00Z,Turkey,55.22
184,Maeshler et al.,73,29,Subjective,Smell AND Taste,34,NA,34,10.1016/j.cmi.2020.08.017,0.568,EMR,2020-08-19T00:00:00Z,Germany,56.8
185,Chary et al.,115,81,Subjective,Smell OR Taste,47,NA,47,10.1177/1945892420930954,0.2957,Self Report and phone interviews,2020-06-12T00:00:00Z,France,29.57
186,Bergquist et al.,208,131,Subjective,Smell OR Taste,NA,47.8,47.8,10.1007/s42399-020-00453-3,0.302,EMR,2020-08-14T00:00:00Z,United States,30.2
187,Al-Ani et al.,141,28,Subjective,Taste Only; Taste and Smell,NA,35.91,35.91,10.1007/s12070-020-02064-9,0.5035,EMR,2020-08-19T00:00:00Z,Qatar,50.349999999999994
188,Otte et al.,91,80,Subjective,Smell AND Taste,NA,43.01,43.01,10.1080/00016489.2020.1811999,0.5054,Self report - objective AFTERWARDS (Sniffin Sticks),2020-07-08T00:00:00Z,Germany,50.54
189,Rojas-Lechuga et al.,197,128,Subjective,Taste Only,NA,46.5,46.5,10.1007/s00405-020-06266-3,0.365,VAS scale,2020-08-25T00:00:00Z,Spain,36.5
190,Lechien et al. 4,1420,770,Subjective,Taste Only,NA,39.17,39.17,10.1111/joim.13089,0.3225,Questionnaire,2020-04-30T00:00:00Z,Europe,32.25
191,Van Loon et al.,156,62,Subjective,Smell OR Taste,NA,NA,NA,10.1097/JOM.0000000000002015,0.2237,Clinical evaluation,2020-09-26T00:00:00Z,Belgium,22.37
192,Neto et al.,655,502,Subjective,Taste Only,NA,37.7,37.7,10.1177/0194599820954825,0.353,"11 point scale, interview",2020-09-01T00:00:00Z,Brazil,35.3
193,Vena et al.,398,26,Subjective,Smell OR Taste,51,NA,51,10.3390/jcm9092780,0.444,Questionnaire,2020-08-27T00:00:00Z,Italy,44.4
194,Weiss et al.,17,7,Subjective,Taste Only,NA,37.5,37.5,10.1101/2020.09.07.20188813,0.21,Home test,2020-09-10T00:00:00Z,United States,21
196,Chiesa-Estomba et al.,542,333,Subjective,Taste Only,NA,34,34,10.1016/j.amjoto.2020.102605,0.4022,sQOD-NS,2020-06-06T00:00:00Z,Argentina,40.22
197,Carignan et al.,134,85,Subjective,Taste Only,57.1,NA,57.1,10.1503/cmaj.200869,0.478,Questionnaire by telephone,2020-06-29T00:00:00Z,Canada,47.8
198,Kim et al.,213,58,Subjective,Taste Only,26,NA,26,10.1016/j.cmi.2020.04.040,0.384,Questionnaire,2020-05-01T00:00:00Z,Korea,38.4
199,Lee et al. 2,56,23,Subjective,Taste Only,38,NA,38,10.1017/cem.2020.420,0.411,Questionnaire,2020-06-08T00:00:00Z,Canada,41.099999999999994
200,Liguori et al.,103,48,Subjective,Taste Only,NA,55,55,10.1016/j.bbi.2020.05.037,0.5728,All anamnestic interviews were collected by clinicians,2020-05-19T00:00:00Z,Italy,57.28
201,Meini et al.,100,41,Subjective,Taste Only,NA,65,65,10.1007/s00405-020-06102-8,0.6,Telephone interview,2020-06-04T00:00:00Z,Italy,60
202,Sierpiński et al.,1942,923,Subjective,Taste Only,50,NA,50,10.20452/pamw.15414,0.389,Questionnaire,2020-06-04T00:00:00Z,Poland,38.9
204,Zayet et al.,95,62,Subjective,Taste Only,NA,40,40,10.1007/s15010-020-01442-3,0.17,NA,2020-05-14T00:00:00Z,France,17
205,Aggarwal et al.,16,3,Subjective,Taste Only,NA,65.5,65.5,10.1515/dx-2020-0046,0.75,NA,2020-05-26T00:00:00Z,United States,75
206,Patel et al.,141,74,Subjective,Taste Only,NA,45.6,45.6,10.1016/j.cmi.2020.05.026,0.5886,NA,2020-06-02T00:00:00Z,United Kingdom,58.86
207,Romero-Sanchez et al.,841,52,Subjective,Taste Only,NA,66.42,66.42,10.1212/WNL.0000000000009937,0.562,NA,2020-06-01T00:00:00Z,Spain,56.2
209,Lindahl et al.,75,9,Subjective,Smell AND/OR Taste,NA,NA,NA,10.1080/20008686.2020.1789036,0.17,COVID-19 Antibody test (IgG or IgM),2020-08-05T00:00:00Z,Sweden,17
211,Perlman et al.,433,193,Subjective,Smell OR Taste,NA,34.5,34.5,10.2196/23197,0.276,App,2020-10-20T00:00:00Z,Israel,27.6
213,Lv et al.,196,23,Subjective,Taste Only,NA,50.6,50.6,10.1016/j.ijid.2020.09.039,0.4731,Telephone interview,2020-09-17T00:00:00Z,China,47.31
215,Vaira et al. 6,556,284,Objective,Taste Only,NA,NA,NA,10.1007/s12070-020-02182-4,NA,4 solution taste test,2020-09-30T00:00:00Z,Italy,NA
216,Korkmaz et al.,116,48,Subjective,Taste Only,NA,57.24,57.24,10.1007/s00405-020-06396-8,0.5,VAS questionnaire,2020-10-03T00:00:00Z,Turkey,50
217,Rajkumar et al.,230,25,Subjective,Taste Only,NA,43.56,43.56,10.1007/s12070-020-02175-3,0.6336,Smell ten items; 26.9 report smell loss - 41.3% had smell loss,2020-09-30T00:00:00Z,India,63.36000000000001
218,Ramasamy et al.,145,34,Subjective,Taste Only,NA,43,43,10.1177/0003489420963165,0.6206,NA,2020-10-07T00:00:00Z,Malaysia,62.06
219,Nakanishi et al.,32,18,Subjective,Taste Only,NA,51.4,51.4,10.1620/tjem.252.109,0.55,NA,2020-10-07T00:00:00Z,Japan,55.00000000000001
220,Konstantinidis et al.,79,22,Subjective,Taste Only,NA,30.7,30.7,10.1159/000511436,0.4936,NA,2020-10-13T00:00:00Z,Greece,49.36
221,Makda et al.,114,9,Subjective,Taste Only,NA,51,51,10.7759/cureus.10360,0.544,NA,2020-09-10T00:00:00Z,Pakistan,54.400000000000006
222,Zimmerman et al.,77,58,Subjective,Smell OR Taste,NA,44.4,44.4,10.1080/21645515.2020.1822135,0.333,NA,2020-10-20T00:00:00Z,United States,33.300000000000004
223,Bidkar et al.,76,64,Objective,Taste Only,28,NA,28,10.1007/s12070-020-02210-3,0.505,Two solution test,2020-10-14T00:00:00Z,India,50.5
224,Seo et al.,62,15,Subjective,Smell OR Taste,NA,33,33,10.3346/jkms.2020.35.e375,0.3,NA,2020-10-26T00:00:00Z,Korea,30
225,Alshami et al.,128,28,Subjective,Smell AND Taste,NA,39.6,39.6,10.1371/journal.pone.0241258,0.539,NA,2020-10-30T00:00:00Z,Saudi Arabia,53.900000000000006
226,Smith et al.,120,41,Subjective,Taste Only,43,NA,43,10.1007/s42399-020-00603-7,0.38,Structured interview,2020-10-24T00:00:00Z,United States,38
227,Schirinzi et al.,86,69,Subjective,Taste Only,NA,68,68,10.3390/microorganisms8111718,0.674,NA,2020-11-02T00:00:00Z,Italy,67.4
228,Tham et al.,1065,49,Subjective,Taste Only,34,NA,34,10.1007/s00405-020-06455-0,0.876,NA,2020-11-07T00:00:00Z,Singapore,87.6
229,Waterfield et al.,68,26,Subjective,Smell AND/OR Taste,10.1,NA,10.1,10.1136/archdischild-2020-320558,0.51,NA,2020-11-10T00:00:00Z,United Kingdom,51
230,Murat et al.,193,83,Subjective,Smell AND/OR Taste,NA,48.5,48.5,10.1007/s11845-020-02433-x,0.487,NA,2020-11-14T00:00:00Z,Turkey,48.699999999999996
231,Adedeji et al.,53,5,Subjective,Taste Only,NA,12.63,12.63,10.11604/pamj.supp.2020.35.145.25350,0.5238,NA,2020-08-12T00:00:00Z,Nigeria,52.38
232,Jain et al.,410,92,Subjective,Taste Only,NA,37.21,37.21,10.1017/S0022215120002467,0.639,NA,2020-11-16T00:00:00Z,India,63.9
233,Kacem et al.,646,238,Subjective,Taste Only,NA,42.17,42.17,10.1007/s10072-020-04866-9,0.539,NA,2020-11-17T00:00:00Z,Tunisia,53.900000000000006
234,Krishnasamy et al.,1263,56,Subjective,Taste Only,35,NA,35,10.4269/ajtmh.20-1096,0.663,NA,2020-11-17T00:00:00Z,India,66.3
236,Nakakubo et al.,23,3,Subjective,Smell OR Taste,68.5,NA,68.5,10.1186/s12879-020-05604-4,0.764,NA,2020-11-18T00:00:00Z,Japan,76.4
237,Rubel et al.,49,44,Subjective,Smell AND/OR Taste,NA,43.1,43.1,10.1177/2473974X20970176,0.347,NA,2020-11-02T00:00:00Z,United States,34.699999999999996
238,Garg et al.,391,35,Subjective,Taste Only,NA,49.07,49.07,10.4103/aian.AIAN_560_20,0.61,NA,2020-08-14T00:00:00Z,India,61
239,Gözen et al.,59,25,Subjective,Taste Only,NA,37.41,37.41,10.1177/0145561320975510,0.5593,NA,2020-11-25T00:00:00Z,Turkey,55.93
240,Kumar et al.,89,6,Subjective,Smell AND/OR Taste,NA,NA,NA,10.1177/1010539520977307,0.5843,NA,2020-11-26T00:00:00Z,India,58.43000000000001
241,Petersen et al.,180,102,Subjective,Taste Only,NA,39.9,39.9,10.1093/cid/ciaa1792,0.46,NA,2020-11-30T00:00:00Z,Denmark,46
242,Bulğurcu et al.,418,135,Subjective,Taste Only,NA,46.5,46.5,10.1097/SCS.0000000000007284,0.5311,NA,2020-11-25T00:00:00Z,Turkey,53.11
243,Mazzatenta et al.,100,47,Objective,Taste Only,NA,63,63,10.3389/fmed.2020.589409,0.7,Two solution test,2020-12-02T00:00:00Z,Italy,70
244,Anna et al.,215,111,Subjective,Smell AND/OR Taste,NA,38,38,10.1002/eji.202049058,0.226,NA,2020-12-01T00:00:00Z,France,22.6
245,Sayin et al. 2,52,19,Subjective,Taste Only,59,61.32,59,10.1177/0145561320977464,0.692,NA,2020-12-01T00:00:00Z,Turkey,69.19999999999999
247,Staven at al.,451,311,Subjective,Taste Only,NA,49.8,49.8,10.1136/thoraxjnl-2020-216377,0.44,Survey,NA,Norway,44
248,Ramteke et al.,30,0,Objective,Smell OR Taste,10.5,NA,10.5,10.1093/tropej/fmaa106,0.6,"India protocol smell check using coconut oil, chocolates, and flavored milk",2020-12-05T00:00:00Z,India,60
249,Lechner et al.,208,187,Subjective,Smell AND/OR Taste,NA,NA,NA,10.1111/COA.13683,0.29,survey,2020-12-06T00:00:00Z,United Kingdom,28.999999999999996
250,Conchiero-Guisan et al.,33,4,Subjective,Taste Only,NA,8.4,8.4,10.1016/j.ijporl.2020.110539,0.61,Questionnaire,2020-12-01T00:00:00Z,Spain,61
252,Horvath et al.,102,64,Subjective,Taste Only,NA,45,45,10.1080/00016489.2020.1855366,0.4,Retrospective telephonic questions,2020-12-12T00:00:00Z,Australia,40
253,Bastiani et al.,694,365,Subjective,Smell AND/OR Taste,NA,50,50,10.2196/23897,0.319,self report survey,2020-09-29T00:00:00Z,Italy,31.900000000000002
254,Elimian et .,10517,130,Subjective,Taste Only,NA,35.6,35.6,10.1136/bmjopen-2020-044079,0.677,self report / clinical assessment,2020-11-10T00:00:00Z,Nigeria,67.7
258,Adamczyk et al.,52,26,Objective,Taste Only,NA,21.7,21.7,10.1101/2020.05.31.20118380,0.9808,4 solution taste test,2020-06-03T00:00:00Z,Poland,98.08
259,Lagi et al.,48,26,Subjective,Taste Only,62,NA,62,10.2807/1560-7917.ES.2020.25.17.2000556,0.65,self report,2020-04-30T00:00:00Z,Italy,65
260,Lapostolle et al.,1487,422,Subjective,Taste Only,44,NA,44,10.1007/s11739-020-02379-z,0.47,NA,2020-05-30T00:00:00Z,France,47
262,Zayet at al.,70,34,Subjective,Taste Only,NA,57,57,10.1016/j.micinf.2020.05.016,0.51,questionnaire,2020-06-16T00:00:00Z,France,51
263,Zou et al.,81,21,Subjective,Taste Only,58,NA,58,10.21203/rs.3.rs-28370/v1,0.47,telephone follow-up,NA,China,47
265,Bianco et al.,50,18,Subjective,Taste Only,NA,51.2,51.2,10.1177/0145561320981447,0.58,questionaire,2020-11-18T00:00:00Z,Italy,57.99999999999999
266,Andrews et al.,78,54,Subjective,Taste Only,39,NA,39,10.1002/lio2.507,0.244,questionaire,NA,United Kingdom,24.4
268,Kavaz et al.,53,32,Subjective,Smell AND/OR Taste,NA,47.2,47.2,10.1007/s00405-020-06503-9,0.4528,Telephone survey,NA,Turkey,45.28
269,Sahoo et al.,718,76,Subjective,Taste Only,34,36.7,34,10.1007/s00405-020-06563-x,0.78,NA,2020-12-10T00:00:00Z,India,78
271,Lechien & Cabaraux et al,78,53,Subjective,Taste Only,NA,40.6,40.6,10.1101/2020.04.15.20066472;,0.41,Survey,2020-04-18T00:00:00Z,Global,41
278,Lechien & Chiesa‐Estomba et al. 2,2581,1182,Subjective,Taste Only,NA,44.5,44.5,10.1111/joim.13209,0.301,Questions from NHNES,2021-01-05T00:00:00Z,Europe,30.099999999999998
280,Fisher et al.,157,98,Subjective,Smell OR Taste,40,NA,40,10.1111/irv.12832,0.47,NA,2020-12-10T00:00:00Z,United States,47
281,Niklassen et al.,61,16,Objective,Taste Only,NA,44.5,44.5,10.1002/lary.29383,0.5315,Taste Strips and Taste Sprays,2021-01-06T00:00:00Z,Denmark,53.15
283,Nishanth et al.,55,41,Subjective,Taste Only,NA,36,36,10.1002/jmv.26784.,0.05,NA,2021-01-08T00:00:00Z,India,5
285,Song et al. 2,388,48,Subjective,Smell OR Taste,26,30.3,26,10.3346/jkms.2021.36.e14,0.433,Health Questionaire,2020-12-20T00:00:00Z,Korea,43.3
286,Polat et al.,217,109,Subjective,Taste Only,NA,41.74,41.74,10.1097/SCS.0000000000007412,0.594,NA,2020-11-18T00:00:00Z,Turkey,59.4
287,Arslan et al.,118,15,Subjective,Smell AND/OR Taste,6.5833,NA,6.5833,10.1111/PED.14602,0.557,NA,2021-01-10T00:00:00Z,Turkey,55.7
288,Yadav et al.,152,20,Subjective,Taste Only,NA,43.03,43.03,10.1007/s12070-020-02295-w,0.5131,Questionaire,2020-11-24T00:00:00Z,India,51.31
289,Salcan et al.,94,33,Objective,Taste Only,NA,53,53,10.1007/s00405-020-06560-0,0.553,4 solution test; taste strips,2020-12-10T00:00:00Z,Turkey,55.300000000000004
292,Amerigo et al.,234,132,Subjective,Taste Only,NA,NA,NA,10.18176/jiaci.0670,0.265,NA,2021-01-19T00:00:00Z,Spain,26.5
294,Fistera et al.,43,6,Subjective,Taste Only,NA,66,66,10.1186/s12245-020-00302-z,0.624,Retrospective study,2020-08-20T00:00:00Z,Germany,62.4
